Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2683,job_e68184ddf4d804af,EY,"Gurgaon, Haryana",Posted 10 days ago,Business Analyst,India,,,,Gurgaon,,,2.0,,,Associate Analyst   Global Markets Knowledge   BI,"['C', 'client', 'PowerPoint', 'asp', 'R', 'api', 'Excel']"
2684,job_f6a33b135e03a55d,Momentive,"Bengaluru, Karnataka",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,Senior Level,3.0,,postgraduate,Senior Analyst / Lead Analyst,"['D', 'C', 'PowerPoint', 'Vi', 'MS Excel', 'R', 'Project Management', 'Leadership', 'BA', 'Excel']"
2685,job_8d8d38e919df2a5b,Allegion,"Bengaluru, Karnataka",Posted 12 days ago,Business Analyst,India,,,,Bengaluru,,,5.0,,undergraduate,IT Business Analyst III,"['SQL', 'PowerBI', 'D', 'Inventory Management', 'C', 'Supply Chain', 'R', 'api', 'Excel']"
2686,job_7742f573d7fd037b,EY,"Mumbai, Maharashtra",Posted 13 days ago,Business Analyst,India,,,,Mumbai,,,5.0,,postgraduate,Tax   TTT   Senior   Business Analyst,"['Balsamiq', 'D', 'C', 'client', 'Vi', 'R', 'api', 'BA', 'Excel']"
2687,job_9592bec7d96262d2,Aon Corporation,"Bengaluru, Karnataka",Posted 10 days ago,Business Analyst,India,,,,Bengaluru,,,4.0,,postgraduate,IND Data Analyst,"['SQL', 'D', 'C', 'client', 'Go', 'R', 'Databases']"
2688,job_64ae851df09d60e9,Lowe's,"Remote in Bengaluru, Karnataka",Posted 12 days ago,Business Analyst,India,,,,Remote in Bengaluru,,,1.0,,undergraduate,"Associate Analyst, Product Data Quality Merchandising Operat...",['R']
2689,job_bc284203ff7e556a,Morningstar,"Mumbai, Maharashtra",Posted 12 days ago,Business Analyst,India,,,,Mumbai,,Senior Level,3.0,,undergraduate,Senior Data Research Analyst,"['D', 'C', 'client', 'PowerPoint', 'Go', 'R', 'MS Office', 'Excel']"
2690,job_ad2afeac02b491da,Harjai Computers,"Mumbai, Maharashtra",Posted 13 days ago,Business Analyst,India,,,,Mumbai,,,2.0,,,Business Analyst   Immediate Joiner,"['D', 'C', 'R', 'Vi']"
2691,job_d7d26f70cffe0771,Procol Tech,"Gurgaon, Haryana",Posted 7 days ago,Business Analyst,India,,,,Gurgaon,,,,,undergraduate,Data Analyst / Data Scientist,"['Random Forest', 'SQL', 'Statistics', 'D', 'C', 'R', 'SAS', 'Neural Networks', 'Regression']"
2692,job_486c899cc69651e7,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Posted 11 days ago,Business Analyst,India,,,,Mumbai,,,4.0,,undergraduate,FAIR Loans & Deposits Asset Class Controllers Analyst,"['D', 'client', 'C', 'R']"
2693,job_22bd49c6a17ba40d,Thermo Fisher Scientific,"Bengaluru, Karnataka",Posted 7 days ago,Business Analyst,India,,,,Bengaluru,,,1.0,,postgraduate,Business Analyst III,['R']
2694,job_70eaa3c1b7d5a485,CRMNEXT,"Noida, Uttar Pradesh",Posted 12 days ago,Business Analyst,India,,,,Noida,,,4.0,,,Consultant  Business Analyst,"['JSON', 'SQL', 'Documentation', 'C', '.net', 'D', 'C#', 'CSS', 'client', 'jQuery', 'Go', 'HTML', 'R', '.NET', 'Java', 'server', 'ML', 'Excel']"
2695,job_2527fb72ab9ed0d4,Smiths Detection,"Pune, Maharashtra",Posted 7 days ago,Business Analyst,India,,,,Pune,,,3.0,,postgraduate,Accounting Reporting & Controls Analyst,"['D', 'R']"
2696,job_5a9a58255475c3c5,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,,6.0,,postgraduate,Microsoft BI  Consultant,"['SQL', 'Data Warehousing', 'D', 'C', 'C#', 'Predictive modeling', 'Go', 'Machine Learning', 'R', 'Git', 'server', 'SAS', 'SSI', 'Vi']"
